Statistic when I use free() function

Mach Virtual Memory Statistics: (page size of 4096 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   40492  1614456    11950  1613442        0   711889   704491  542307K  1786598  209725K  6087791  1380062      665353   2574495   904184   201599  7050051 17433337  6882610    73228  1513650  1779953 
   37746  1618036    11958  1612691        0   711908   704482     4029       35     3757        0        0      665369   2577316   904107   201567       77        0        7        0        0        0 
   36454  1627383    11961  1614721        0   701651   714788     7983      309     3406        0        0      665376   2588689   904107   201567        0        0        0        0        0        0 
   36495  1627424    11961  1614706        0   701655   714788       77        0       67        0        0      665376   2588715   904107   201567        0        0        0        0        0        0 
   36415  1627444    11961  1614693        0   701662   714788       65        0       55        0        0      665376   2588722   904107   201567        0        0        0        0        0        0 
   36428  1627476    11961  1614653        0   701662   714748      146        0      131        0        0      665376   2588714   904105   201567        2        0        0        0        0        0 
   36564  1627447    11961  1614595        0   701662   714748       59        0       49        0        0      665376   2588627   904105   201567        0        0        0        0        0        0 
   47101  1617044    11961  1614519        0   701662   704373       69        0       55        0        0      665376   2578148   904105   201567        0        0        0        0        0        0 
   47178  1617056    11963  1614484        0   701665   704373       64        0       54        0        0      665378   2578125   904105   201567        0        0        0        0        0        0 
   47245  1617711    11963  1614478        0   701041   704997      102        0       92        0        0      665378   2578774   904105   201567        0        0        0        0        0        0 
   47066  1617772    11963  1614398        0   701050   704997      190        0      164        0        0      665378   2578755   904105   201567        0        0        0        0        0        0 
   49777  1615993    11963  1613554        0   701024   704997       65        0       51        0        0      665378   2576132   904105   201567        0        0        0        0        0        0 
   49705  1616159    11963  1613530        0   700869   705118       53        0       43        9        1      665378   2576274   904105   201567        0        0        0        0        0        0 
   49659  1635985    11963  1615558        0   679009   705854       72        0       55        0        0      665378   2598128   904100   201551        5        0        0        0        0        0 
   49612  1634571    11963  1617604        0   678337   706526       52        0       41        0        0      665378   2598760   904100   201551        0        0        0        0        0        0 
   49665  1644892    11963  1617665        0   667963   716900       76        0       56        0        0      665378   2609142   904097   201551        3        0        0        0        0        0 
   51181  1644141    11854  1618540        0   666385   716932     5676        0      113        0        0      665384   2609151   904097   201551        0        0        0        0        0        0 
   51295  1652899    11854  1620764        0   655339   727978       77        0       50        0        0      665384   2620133   904097   201551        0        0        0        0        0        0 
   51270  1663230    11854  1620802        0   644972   727978      107        0       97        0        0      665384   2630502   904097   201551        0        0        0        0        0        0 
   51154  1662847    11855  1621348        0   645040   727978      823        0      637        0        0      665385   2630665   903504   201535        7        0        0        0        0        0 


Statistic when I don't use free() function

Mach Virtual Memory Statistics: (page size of 4096 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
  139989  1600621    13497  1576158        0   661648   743416  542559K  1790993  209907K  6088005  1380161      667361   2522915   902531   201990  7051123 17433337  6882888    73228  1514226  1779953 
  136924  1591612    13508  1576311        0   673229   743141    14217       35    14148        0        0      667380   2514051   902521   201990       10        0        7        0        0        0 
  134326  1583870    13508  1576284        0   683635   732766     2714        0     2695        0        0      667381   2506281   902521   201990        0        0        1        0        0        0 
  131830  1586104    13508  1571483        0   688773   732766     2633        0     2606        0        0      667381   2503714   902521   201990        0        0        0        0        0        0 
  129345  1587913    13509  1572223        0   688778   732766     2618        0     2603        0        0      667382   2506263   902521   201990        0        0        0        0        0        0 
  126793  1589289    13509  1573503        0   688783   732766     3217        0     3058        0        0      667382   2508919   902521   201990        0        0        0        0        0        0 
  125210  1590027    13510  1574412        0   688709   732766     2659        0     2645        0        1      667383   2510566   902521   201990        0        0        0        0        0        0 
  122640  1591628    13510  1575395        0   688717   732766     2687        0     2659        0        0      667383   2513150   902521   201990        0        0        0        0        0        0 
  120161  1593323    13510  1576270        0   688722   732766     2644        0     2630        0        0      667383   2515720   902521   201990        0        0        0        0        0        0 
  116880  1595141    13510  1577357        0   688753   732766     4237       47     3736        0        0      667383   2518625   902515   201990        6        0        0        0        0        0 
   93651  1604835    13545  1590013        0   689818   735308    66536     3624    36781        0        0      667528   2540865   902458   201974       57        0       24        0        0        0 
  117790  1588703    13598  1581877        0   689831   735434    11291      162     8131        0        0      667600   2516578   902456   201974        2        0        4        0        0        0 
  115075  1599072    13647  1584398        0   679449   746490     3379        5     3193        0        1      667662   2529455   902455   201974        1        0        0        0        0        0 
  114940  1604551    13838  1584926        0   673549   747422      983        0      940        0        0      667864   2535451   902455   201974        0        0        0        0        0        0 
  114807  1601578    13877  1587578        0   673868   746870      353        0      337        0        0      667900   2535133   902455   201974        0        0        0        0        0        0 
  115253  1601339    13877  1587215        0   673868   746870       91        0       68        0        0      667900   2534531   902453   201974        2        0        0        0        0        0 
  115655  1590852    13879  1587071        0   684271   736508      144        0      133        0        0      667901   2523901   902453   201974        0        0        0        0        0        0 
  115693  1590936    13871  1587016        0   684269   736512      188        0      157        0        0      667893   2523930   902453   201974        0        0        0        0        0        0 
  115740  1590960    13869  1586966        0   684269   736513      121        0      110        0        0      667893   2523902   902453   201974        0        0        0        0        0        0 
  115755  1590957    13863  1586883        0   684269   736513      154        0      143        0        0      667881   2523822   902453   201974        0        0        0        0        0        0 
  115788  1590945    13863  1586855        0   684269   736507       72        0       58        0        0      667881   2523782   902452   201974        1        0        0        0        0        0 


The rusult from swapins and swpouts columns on the first iteration isn't equal to zero, but from the second is it. It seems that starting with the second iteration swap memory becomes free.
The almost same result when I use and remove free() function. 
